label,message
ham,Hello how are you
spam,Congratulations you won a free ticket call now
ham,Can you send me the assignment file
spam,Get cheap meds online now
ham,Do not forget our meeting at 5pm
spam,You have been selected for a cash prize
ham,Lets catch up tomorrow
spam,Win shopping voucher click here
ham,Please review the document I sent
spam,Exclusive deal just for you
ham,Are you coming to class today
spam,Claim your free gift card now
ham,Call me when you reach home
spam,Limited time offer click now
ham,Let's study together
spam,You have won lottery money
ham,Meeting is postponed to tomorrow
spam,Get rich quick scheme join now
ham,Please send notes
spam,Free entry in contest click here
